Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost (₹),Cost (₹)
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Firebase Realtime Database,1C58-CF90-9614,Outgoing Bandwidth,04F2-6383-80BD,,Usage,2023-06-30,2023-07-31,"2,137.409",gibibyte,174496.121411,174496.12
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Firebase Realtime Database,1C58-CF90-9614,Storage,6BC9-D757-743E,,Usage,2023-06-30,2023-07-31,5.705,gibibyte month,1930.686200,1930.69
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Cloud Storage,95FF-2EF5-5EA1,Networking Traffic Egress GAE/Firebase Storage,07A4-C7D5-D204,,Usage,2023-06-30,2023-07-31,147.797,gibibyte,1158.018151,1158.02
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Firebase Hosting,2662-232A-AC11,Outgoing Bandwidth,5DF2-5F92-77F0,,Usage,2023-06-30,2023-07-31,85.081,gibibyte,913.087964,913.09
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Compute Engine,6F81-5844-456A,E2 Instance Core running in Americas,CF4E-A0C7-E3BF,,Usage,2023-06-30,2023-07-31,372.007,hour,665.819525,665.82
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Compute Engine,6F81-5844-456A,E2 Instance Ram running in Americas,F449-33EC-A5EF,,Usage,2023-06-30,2023-07-31,"1,488.029",gibibyte hour,356.973886,356.97
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Cloud Functions,29E7-DA93-CA13,CPU Time,C024-9C10-2A5B,,Usage,2023-06-30,2023-07-31,"240,775.2",GHz-second,197.572320,197.57
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Networking,E505-1604-58F8,Networking Cloud Nat Gateway Uptime,32E2-4EFC-EF9F,,Usage,2023-06-30,2023-07-31,"1,488.073",hour,170.949758,170.95
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Cloud Functions,29E7-DA93-CA13,CPU Time,C024-9C10-2A5B,,Usage,2023-07-01,2023-07-13,"201,832.319",GHz-second,165.617399,165.62
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Networking,E505-1604-58F8,Network Intelligence Center Network Analyzer Resource Hours,9BF8-CD36-F9B8,,Usage,2023-07-01,2023-07-31,"1,489",count,134.401607,134.40
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Networking,E505-1604-58F8,Network Intelligence Center Topology and Google Cloud Performance Resource Hours,D9AD-28F8-05D8,,Usage,2023-07-01,2023-07-31,"1,489",count,134.401607,134.40
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Networking,E505-1604-58F8,Network Intelligence Center Internet to Google Cloud Performance Resource Hours,BDBA-22FA-3925,,Usage,2023-07-01,2023-07-31,"1,490",count,97.812540,97.81
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Cloud Storage,95FF-2EF5-5EA1,Networking Traffic Egress GCP Replication within Northern America,AED0-3315-7B11,,Usage,2023-07-01,2023-07-31,50.728,gibibyte,83.252903,83.25
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Cloud Functions,29E7-DA93-CA13,Invocations,8E10-82EB-6917,,Usage,2023-06-30,2023-07-31,"4,438,229",invocations,80.028241,80.03
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Cloud Functions,29E7-DA93-CA13,Memory Time,F01C-3EA0-06CD,,Usage,2023-07-01,2023-07-31,"276,629.6",gibibyte second,56.746118,56.75
Everbest (JSW) - Shivaami Billing Account,01502B-A84EDB-57B4B7,steelemart,steelemart-somil,[Project not associated with any folders or organizations],Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Multi-region,0D5D-6E23-4250,,Usage,2023-06-30,2023-07-31,24.175,gibibyte month,51.642949,51.64
